ï»¿datasetId,contigId,Average fold,Length,Reference GC,Covered percent,Covered bases,Plus reads,Minus reads,Median fold,Read GC,Complete Lineage,IMG scaffold_oid,Kingdom,Phylum,Class,Order,Family,Genus,Species
0,scaffold07650,2.3,409,0.3227,100,409,3,4,2,0.3257,0.0.1.0.3.0.0,Ga0066474_107650,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,
0,scaffold10695,2.8,317,0.6088,100,317,3,3,3,0.61,0.0.2.1.0.0.22,Ga0066474_110695,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halovivax,
0,scaffold10444,3.7,322,0.4379,100,322,4,4,4,0.4495,0.0.2.1.0.0.23,Ga0066474_110444,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba,
0,scaffold13927,1.7,261,0.5517,100,261,2,1,2,0.5644,0.0.2.1.0.0.26,Ga0066474_113927,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronococcus,
0,scaffold04296,5.2,761,0.4192,100,761,14,13,5,0.416,0.0.2.4.1.0.0,Ga0066474_104296,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,
0,scaffold05087,3.2,618,0.39,100,618,8,6,3,0.392,0.0.2.4.2.1.0,Ga0066474_105087,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,
0,scaffold10751,4.9,316,0.6835,100,316,7,4,5,0.6887,0.0.2.4.2.1.3,Ga0066474_110751,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,
0,scaffold09090,691.2,357,0.5742,100,357,929,884,755,0.5507,0.0.2.4.2.1.6,Ga0066474_109090,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
0,scaffold10256,2.1,327,0.2722,100,327,2,3,2,0.2861,0.0.2.4.2.1.6,Ga0066474_110256,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
0,scaffold11539,2.7,300,0.2367,100,300,3,3,3,0.2344,0.0.2.4.2.1.6,Ga0066474_111539,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
0,scaffold15442,3.3,247,0.5992,100,247,3,3,3,0.5996,0.0.2.4.2.1.6,Ga0066474_115442,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
