ID,rep,week,oxy,Genus,Length,fraction of reads,project
118_HOW13,4,13,High,Methylobacter,4326741,0.8203440671401212,1056250
130_HOW14,4,14,High,Methylobacter,4428101,0.7768286707449648,1056274
106_HOW12,4,12,High,Methylobacter,4325001,0.6230028906488514,1056226
82_HOW10,4,10,High,Methylobacter,5488758,0.5892176155905128,1056178
16_LOW5,4,5,Low,other,40011267,0.5480438620361187,137285980
76_LOW10,4,10,Low,Methylobacter,6062067,0.5314144276143636,1056166
40_LOW7,4,7,Low,Methylobacter,6012817,0.5220798703305742,1056094
4_LOW4,4,4,Low,other,33236737,0.4887983589744978,154179212
100_LOW12,4,12,Low,Methylobacter,3912062,0.4883466179810304,1056214
46_HOW7,4,7,High,Methylosarcina,4014659,0.4499230987525652,1056106
124_LOW14,4,14,Low,Methylobacter,4196401,0.44834512602633064,1056262
94_HOW11,4,11,High,Methylobacter,5268714,0.4346073737867364,1056202
112_LOW13,4,13,Low,Methylobacter,4377841,0.4265748426589234,1056238
52_LOW8,4,8,Low,Methylobacter,4269256,0.3979996474081555,1056118
88_LOW11,4,11,Low,Methylobacter,3430669,0.3874376314677254,1056190
28_LOW6,4,6,Low,Methylobacter,7695944,0.37181379656196617,1056070
70_HOW9,4,9,High,Methylophilus,3885996,0.3713715149296322,1056154
28_LOW6,4,6,Low,other,27467434,0.3673144782093818,159466570
58_HOW8,4,8,High,Methylophilus,4742705,0.36345453033621977,1056130
70_HOW9,4,9,High,other,41584590,0.362727778021675,178490026
34_HOW6,4,6,High,Methylosarcina,4046465,0.35688004924697764,1056082
10_HOW4,4,4,High,other,25528634,0.3442555077037051,145732692
64_LOW9,4,9,Low,Methylobacter,4943456,0.3285496101651362,1056142
22_HOW5,4,5,High,other,21716138,0.3266108837074889,166857164
64_LOW9,4,9,Low,other,26277081,0.32502926094808265,135186176
52_LOW8,4,8,Low,other,16786893,0.31130985099357805,141519812
88_LOW11,4,11,Low,other,29669495,0.30886342953884305,125686610
40_LOW7,4,7,Low,other,20135986,0.29413844547580764,142572690
112_LOW13,4,13,Low,other,25387059,0.29322517298287437,120411132
100_LOW12,4,12,Low,other,22039569,0.29094503839661257,121464610
58_HOW8,4,8,High,Methylobacter,4610399,0.2741422535234557,1056130
124_LOW14,4,14,Low,other,27453922,0.26914287352995087,124638916
10_HOW4,4,4,High,Methylotenera,10180417,0.26724322194004047,1056034
94_HOW11,4,11,High,other,24278887,0.2650550388797868,109845008
76_LOW10,4,10,Low,other,21259959,0.26369999029934627,119346758
34_HOW6,4,6,High,Methylobacter,6755833,0.24959060301460828,1056082
46_HOW7,4,7,High,Methylobacter,6362304,0.24772149077434802,1056106
64_LOW9,4,9,Low,Methylotenera,8634605,0.24622566535642754,1056142
82_HOW10,4,10,High,other,21406316,0.24168654154919844,134134606
34_HOW6,4,6,High,other,15044195,0.22681915318826484,153131890
22_HOW5,4,5,High,Methylosarcina,2775985,0.2266324993431118,1056058
46_HOW7,4,7,High,other,23202956,0.20499648083454614,141518204
58_HOW8,4,8,High,other,19630412,0.184864170111401,125679470
124_LOW14,4,14,Low,Methylotenera,4642083,0.17858199892188917,1056262
70_HOW9,4,9,High,Methylobacter,4315900,0.1650282831236516,1056154
16_LOW5,4,5,Low,Methylobacter,7601422,0.1630484170483068,1056046
112_LOW13,4,13,Low,Methylotenera,4868952,0.15196491120275443,1056238
106_HOW12,4,12,High,other,23482737,0.14953491372843739,106678826
22_HOW5,4,5,High,Methylobacter,1350745,0.13773320510144665,1056058
4_LOW4,4,4,Low,Methylobacter,8211298,0.1358689179695029,1056022
52_LOW8,4,8,Low,Methylotenera,8531013,0.13509416823018175,1056118
